text,label
Hi are you coming?,0
Lunch at 2?,0
Call me later,0
Meeting at 5,0
Reached home,0
Happy birthday,0
See you tomorrow,0
Assignment due tomorrow,0
Movie tonight?,0
Let's meet,0
Don't forget the books,0
Good morning,0
Train arriving at 6,0
Class cancelled,0
Dinner ready,0
Weather looks good,0
See you soon,0
Exam tomorrow,0
Leave early today,0
Call when free,0

Airtel: Recharge now to enjoy 2GB data,1
Amazon: Sale live now,1
Flipkart: Offer ends today,1
Jio: Upgrade your plan,1
Swiggy: 50% off today,1
Zomato: Free delivery,1
Paytm: Cashback available,1
PhonePe: Reward unlocked,1
LIC: Policy reminder,1
IRCTC: Booking open,1
BigBasket: Offer on groceries,1
Myntra: Mega sale live,1
Uber: Discount ride,1
Dominos: Flat 40% off,1
MakeMyTrip: Travel offer,1
BookMyShow: Tickets available,1
Hotstar: Subscription offer,1
Spotify: Premium offer,1
Flipkart: Address confirmation needed,1
Amazon: Deal ends today,1

HDFC OTP is 552211,2
SBI OTP for login,2
Aadhaar OTP is 774921,2
Transaction successful,2
Bank debit of ₹200,2
UPI payment received,2
India Post: Out for delivery,2
Amazon: Package arriving,2
ICICI: Login alert,2
Payment completed,2
ATM withdrawal alert,2
Salary credited,2
Recharge successful,2
Booking confirmed,2
Your order shipped,2
Refund processed,2
Bill paid,2
Account statement ready,2
Balance updated,2
New login detected,2

HDFC: Update KYC to avoid block,3
SBI: Verify immediately,3
UPI refund pending click link,3
Parcel held pay ₹25,3
Account suspended,3
SIM will be deactivated,3
Loan approved instantly,3
Work from home earn daily,3
Immediate verification required,3
Confirm identity now,3
Update PAN now,3
Click to secure account,3
Verify to avoid freeze,3
Security alert update now,3
Payment failed update details,3
Delivery on hold pay fee,3
Lottery winner claim now,3
Refund pending click link,3
Act immediately to avoid block,3
Confirm details urgently,3
